,,途爽晕车贴 1贴*2袋,首页 > 医疗器械 > 理疗康复 > 贴膏类 > 途爽晕车贴,金象大药房,
,,[预订]【乘车晕宁片】 茶苯海明片 （12片装）-北京益民药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【乘车晕宁片】 茶苯海明片 （12片装）,818医药网,乘车晕宁片
1016001007,食品饮料、保健食品|地方特产|华中地区,【湘江】 盐酸地芬尼多片 （30片装）-湖南千金湘江药业,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【湘江】 盐酸地芬尼多片 （30片装）,818医药网,湘江
,,[预订]【飞赛乐】 盐酸苯环壬酯片 （6片装）-北京华素制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】 盐酸苯环壬酯片 （6片装）,818医药网,飞赛乐
,,[预订]【三精】 逐瘀通脉胶囊 （18粒装）-哈药三精千鹤制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【三精】 逐瘀通脉胶囊 （18粒装）,818医药网,三精牌
,,[预订]【乘车晕宁片】 茶苯海明片 （50毫克 12片装）-上海金山制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【乘车晕宁片】 茶苯海明片 （50毫克 12片装）,818医药网,
,,[预订]【飞赛乐】 盐酸苯环壬酯片 （6片装）-北京华素制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】 盐酸苯环壬酯片 （6片装）,818医药网,飞赛乐
,,[预订]【宁星】 晕可平冲剂 （6袋装）-南通精华制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【宁星】 晕可平冲剂 （6袋装）,818医药网,
,,【广州雨纯】 醒目晕车贴 (2贴)-广州雨纯,818医药网 > 医疗器械 > 家庭护理 > 家庭药箱 > 【广州雨纯】 醒目晕车贴 (2贴),818医药网,醒目
,,【碚陵】 消眩止晕片 （30片装）-重庆汉华制药,818医药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【碚陵】 消眩止晕片 （30片装）,818医药网,碚陵
,,澳樱晕车贴 晕车晕船晕机贴耳后方便使用2cm*4贴*2盒,母婴>洗护用品>护理用品>澳樱>澳樱晕车贴 晕车晕船晕机贴耳后方便使用2...,京东商城,好药师健康馆
,,康庄(home) 晕车清凉贴(四贴装),家用电器>个护健康>其它健康电器>康庄（HOME）>康庄晕车清凉贴,京东商城,康庄（HOME）
,,澳樱晕车贴 晕车晕船晕机贴耳后方便使用2cm*2贴*2盒,母婴>洗护用品>护理用品>澳樱>澳樱晕车贴 晕车晕船晕机贴耳后方便使用2...,京东商城,好药师健康馆
,,用于内耳眩晕症,首页>药品>神经系统>眩晕晕车,开心人,敏使朗
,,静电理疗晕车贴4盒装2cm*3.5cm*4贴/盒*4盒 用于晕车、晕船、晕机,运动健康>保健器械>养生器械>其它>静电理疗晕车贴4盒装2cm*3.5cm*...,京东商城,药房网官方旗舰店
,,【京益】茶苯海明片(20片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【京益】茶苯海明片(20片装),12药网,
,,【艾罗补汁】浓维磷糖浆（500毫升装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【艾罗补汁】浓维磷糖浆（500毫升装）,12药网,
,,【龙都】晕痛定胶囊（27粒装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【龙都】晕痛定胶囊（27粒装）,12药网,龙都
,,【湘江】盐酸地芬尼多片（30片装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【湘江】盐酸地芬尼多片（30片装）,12药网,湘江
,,【三精】逐淤通脉胶囊(18粒装) rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【三精】逐淤通脉胶囊(18粒装),12药网,
,,澳樱晕车贴 晕车晕船晕机贴耳后方便使用2cm*2贴*2盒,母婴>洗护用品>护理用品>澳樱晕车贴 晕车晕船晕机贴耳后方便使用2...,京东商城,京东好药师
,,【飞赛乐】盐酸苯环壬酯片（6片装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】盐酸苯环壬酯片（6片装）,12药网,飞赛乐
,,【眩晕停】盐酸地芬尼多片(30片装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【眩晕停】盐酸地芬尼多片(30片装),12药网,
,,【艾罗补汁】浓维磷糖浆（500毫升装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【艾罗补汁】浓维磷糖浆（500毫升装）,12药网,
,,【三精】逐淤通脉胶囊（18粒装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【三精】逐淤通脉胶囊（18粒装）,12药网,
,, 飞赛乐;盐酸苯环壬酯片,万药网 > 药品 > 神经系统 > 眩晕晕车,万泽大药房,华素制药
,,【天和】复方氢溴酸东莨菪碱贴膏(2贴装) otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【天和】复方氢溴酸东莨菪碱贴膏(2贴装),12药网,
,,【晕动】苯巴比妥东莨菪碱片（12片装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【晕动】苯巴比妥东莨菪碱片（12片装）,12药网,
,,【天和】 复方氢溴酸东莨菪碱贴膏 （2贴装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【天和】 复方氢溴酸东莨菪碱贴膏 （2贴装）,12药网,
,,【敏使朗】 甲磺酸倍他司汀片 （30片装） rx,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【敏使朗】 甲磺酸倍他司汀片 （30片装）,12药网,
,,【飞赛乐】盐酸苯环壬酯片（2mg*2片） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【飞赛乐】盐酸苯环壬酯片（2mg*2片）,12药网,
,,【天和】复方氢溴酸东莨菪碱贴膏2贴×2袋装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【天和】复方氢溴酸东莨菪碱贴膏2贴×2袋装）,12药网,天和
,,【天和】 复方氢溴酸东莨菪碱贴膏 （2贴装） otc,12药网 > 中西药品 > 神经系统 > 眩晕晕车 > 【天和】 复方氢溴酸东莨菪碱贴膏 （2贴装）,12药网,天和
